监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
上海十五厂,80,良,59 μg/m3,70 μg/m3,PM2.5
上海杨浦四漂,73,良,53 μg/m3,64 μg/m3,PM2.5
上海浦东川沙,71,良,52 μg/m3,-,PM2.5
上海浦东张江,71,良,52 μg/m3,53 μg/m3,PM2.5
上海虹口,67,良,48 μg/m3,-,PM2.5
上海青浦淀山湖,67,良,48 μg/m3,68 μg/m3,PM2.5
上海静安监测站,65,良,47 μg/m3,67 μg/m3,PM2.5
上海徐汇上师大,65,良,47 μg/m3,52 μg/m3,PM2.5
上海浦东新区监测站,62,良,44 μg/m3,49 μg/m3,PM2.5
